Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
New Year's Day,01/01/2027,,01/01/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
Day after New Year's Day,01/02/2027,,01/02/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
World Braille Day,01/04/2027,,01/04/2027,,True,"Accessibility / Inclusion | Date status: Fixed. Annual international observance. Technology context: Accessibility, tactile design, inclusive interfaces Source: https://www.un.org/en/observances/list-days-weeks",,False
125th anniversary of official adoption of the New Zealand flag,01/24/2027,,01/24/2027,,True,"Aotearoa NZ / 2027 Anniversary | Date status: One-off. A nationally significant 2027 commemoration; date shown as a calendar anchor for planning, not the historical anniversary date. Technology context: Research, information design, digital media, DVC Source: https://www.mch.govt.nz/publications/commemorations-programme-2023-2027",,False
125th anniversary of the sinking of SS Ventnor,01/24/2027,,01/24/2027,,True,"Aotearoa NZ / 2027 Anniversary | Date status: One-off. A nationally significant 2027 commemoration; date shown as a calendar anchor for planning, not the historical anniversary date. Technology context: Research, information design, digital media, DVC Source: https://www.mch.govt.nz/publications/commemorations-programme-2023-2027",,False
150th anniversary of the Education Act,01/24/2027,,01/24/2027,,True,"Aotearoa NZ / 2027 Anniversary | Date status: One-off. A nationally significant 2027 commemoration; date shown as a calendar anchor for planning, not the historical anniversary date. Technology context: Research, information design, digital media, DVC Source: https://www.mch.govt.nz/publications/commemorations-programme-2023-2027",,False
50th anniversary of recognition of 'God Defend New Zealand' as an official anthem,01/24/2027,,01/24/2027,,True,"Aotearoa NZ / 2027 Anniversary | Date status: One-off. A nationally significant 2027 commemoration; date shown as a calendar anchor for planning, not the historical anniversary date. Technology context: Research, information design, digital media, DVC Source: https://www.mch.govt.nz/publications/commemorations-programme-2023-2027",,False
50th anniversary of the Bastion Point occupation,01/24/2027,,01/24/2027,,True,"Aotearoa NZ / 2027 Anniversary | Date status: One-off. A nationally significant 2027 commemoration; date shown as a calendar anchor for planning, not the historical anniversary date. Technology context: Research, information design, digital media, DVC Source: https://www.mch.govt.nz/publications/commemorations-programme-2023-2027",,False
50th anniversary of the Human Rights Commission Act,01/24/2027,,01/24/2027,,True,"Aotearoa NZ / 2027 Anniversary | Date status: One-off. A nationally significant 2027 commemoration; date shown as a calendar anchor for planning, not the historical anniversary date. Technology context: Research, information design, digital media, DVC Source: https://www.mch.govt.nz/publications/commemorations-programme-2023-2027",,False
International Day of Education,01/24/2027,,01/24/2027,,True,"Education | Date status: Fixed. Annual international observance. Technology context: Learning technologies, information design Source: https://www.un.org/en/observances/list-days-weeks",,False
International Day of Clean Energy,01/26/2027,,01/26/2027,,True,"Environment / STEAM | Date status: Fixed. Annual international observance. Technology context: Energy systems, sustainable design Source: https://www.un.org/en/observances/list-days-weeks",,False
World Wetlands Day,02/02/2027,,02/02/2027,,True,"Environment | Date status: Fixed. Annual international observance. Technology context: Sensors, conservation, environmental design Source: https://www.un.org/en/observances/list-days-weeks",,False
Lunar New Year,02/06/2027,,02/06/2027,,True,"Asian cultures | Date status: Calculated. Major Lunar New Year celebration; Year of the Goat. Technology context: Symbolism, packaging, visual communication, product design Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
Waitangi Day,02/06/2027,,02/06/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
